,url,price,beds,sqft,parking,baths,descript,adress,lat,lon,date,cats are OK - purrr,dogs are OK - wooof,air conditioning,furnished,w/d in unit,laundry on site,no laundry on site,no parking,off-street parking,detached garage,dpsf
7509971325,https://chicago.craigslist.org/chc/apa/d/chicago-east-village-loft-sun-drenched/7509971325.html,2550,2,1600.0,street,1.5,"Vintage loft! Entire third floor (1,600 sq. ft.) of redbrick factory building on quiet street minutes from Blue Line. Fourteen large south-facing windows flood the space with sunlight!  Short walk to everything: one block south of vibrant Division Street restaurants, shopping, and nightlife. Galleries, grocery stores, gyms—all close at hand. Three-minute walk to Blue Line, close to freeway.  Architect layout has no wasted space: large master suite with walk-in closets; small second bedroom/office; 1.5 baths; smart galley kitchen with stainless-steel fridge, stove, dishwasher. Huge open loft with track lighting—luxurious living area or ideal base for small business/studio. Super-quiet ceiling fans in bedroom and kitchen; LG washer/dryer in unit. Central gas heat and AC. First-floor bike room.  Available September 1. $2,550 month; gas and electric not included. Cats OK/dogs negotiable.     ",,41.902205,-87.671446,2022-07-17 13:53,1,0,1,0,1,0,0,1,0,0,1.59375
7509970088,https://chicago.craigslist.org/chc/apa/d/chicago-appealing-bedroom-bath-in/7509970088.html,2800,2,1293.0,street,2,"2774 N. Kenmore Lincoln Park  Fabulous two bedroom, two bathroom walkup in Lincoln Park features updated eat in kitchen with maple cabinets, dishwasher, separate dining room with original built in hutch, large living room with decorative fireplace and ceiling fan, hardwood floors, spacious bedrooms, great closet space, updated bathrooms, central heat and air, laundry room in building, deck, one cat is welcome! Short walk to Diversey Red Line, too! Fantastic Lincoln Park address, great walk score!   Please Call Molly Parshall at 262/402-8414‬ or email me at 262-402-8414 to schedule an appointment to view this apartment and mention Apartment ID: 11057.  Urban Abodes 773.676.9000 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",Kenmore near Diversey,41.932632,-87.655354,2022-07-17 13:50,1,0,0,0,0,1,0,1,0,0,2.165506573859242
7509940929,https://chicago.craigslist.org/chc/apa/d/chicago-bucktown-br-office-bath-parking/7509940929.html,1200,1,800.0,"<div class=""cl-component share-button""><div class=""container""><a href=""https://chicago.craigslist.org/chc/apa/d/chicago-bucktown-br-office-bath-",1,"great bright apt2217 N SEELEY Ave, Chicago, IL 60647$1200/mo KEY FEATURES  Year Built:  1891 Sq Footage:  800 sqft. Bedrooms:  2 Small Beds Bathrooms:  1 Baths Parking:  AVAILABLE $150/mo Lease Duration:  1 Year (See Details Below) Deposit:  $400 Pets Policy:  No Pets AllowedFloor:  FIRST FLOOR RIGHT UP FRONT STEPS Property Type:  Apartment  DESCRIPTION washer dryer in building no pets  RENTAL FEATURESFamily roomSTAINLESS STEEL Range / OvenRefrigerator, New Kitchen cabinets and countertopsHeat: forced airDouble pane / Storm windowsCable-readyHigh-speed internetWired COMMUNITY FEATURESOn-street parking  LEASE TERMS  BUCKTOWN BEAUTY -- WILL NOT LAST, BRIGHT WINDOWS!! NO PETS  ",2217 N SEELEY near WEBSTER,41.921432,-87.680455,2022-07-17 12:45,0,0,0,0,0,0,1,0,0,0,1.5
7509935414,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-bed-bath-gut-rehab/7509935414.html,4650,4,,street,3,"TEXT 847-220-2948 FOR FASTEST RESPONSE!   PROPERTY INFO ID: 290895805Rent: $4,650 / MonthBeds: 4Bath: 3Available Date: 09/01/2022Pet: Pet FriendlyRent Includes:: WaterParking:: street parking LAKEVIEW 4 BED 3 BATH  - LARGE UNIQUE LAYOUT W/HIGH CEILINGS  - CUSTOM TOUCHES - ALL NEW KITCHEN AND BATHS - QUARTZ COUNTERTOPS - STAINLESS APPLIANCES - IN-UNIT LAUNDRY - LARGE BEDROOMS - 3 FULL BATHS - BACK DECK - BUILT-IN ALEXA - WI-FI INCLUDED - PETS OK - AVAILABLE FOR AUG 15TH MOVE-IN - PICTURES ARE OF THE COMPLETED ADJOINING BUILDING AND WILL GIVE YOU AN IDEA OF THE FINISHES FEATURESCats OKCentral AirDeckDishwasherDogs OKExposed BrickGut RehabbedHardwood FloorsHigh CeilingsLaundry In UnitNew ConstructionPet FriendlyPrivate DeckQuartz Counter TopsRenovatedStainless Steel Appliances  PLEASE CALL OR TEXT ME AT 847-220-2948 FOR FASTEST RESPONSE!     ",West Cornelia near Seminary,41.945532,-87.656855,2022-07-17 12:33,1,1,0,0,1,0,0,1,0,0,
7509935075,https://chicago.craigslist.org/chc/apa/d/chicago-avondale-newly-renovated/7509935075.html,1525,1,,street,1,"TEXT 847-220-2948 FOR FASTEST RESPONSE!   PROPERTY INFO ID: 301650998Rent: $1,525 / MonthBeds: 1Bath: 1Available Date: 07/15/2022Pet: Cats OnlyRent Includes:: Garbage, Water Belmont @ Francisco 1 bedroom / 1 bathroom  Newly renovated 1 bedroom apartment for rent in Avondale!  This is a 1st floor unit in a 3-flat on Belmont at Francisco, with a private entrance.  Brand new quartz / stainless steel kitchen Dishwasher Laundry in unit Huge bedroom Central air and gas heat Shared back yard Cats are welcome with no pet fee or deposit - sorry, no dogs  Living room 20'5"" x 15' Kitchen 14'4"" x 11'3"" Bedroom 21'11"" x 7' Bathroom 7'1"" x 6' FEATURESCats OKCentral A/CCentral AirDishwasherHardwood FloorsLaundry In UnitOutdoor SpaceQuartz Counter TopsSS AppliancesSS/AppsStainless Steel AppliancesYard  --  Bentley Phillips Leasing   847.220.2948    Square One Team, brokered by Jason Dalka      2851 North Lincoln, Chicago, IL 60657     ",West Belmont near Francisco,41.939332,-87.700256,2022-07-17 12:32,1,0,0,0,1,0,0,1,0,0,
7509932872,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-bed-bath-garden/7509932872.html,1400,2,,street,1,"TEXT 847-220-2948 FOR FASTER RESPONSE!!!!!  PROPERTY INFO ID: 187251879Rent: $1,400 / MonthBeds: 2Bath: 1Available Date: 08/01/2022Pet: No PetsRent Includes:: WaterParking:: street parking Lakeview 2 bedroom, one bath garden unit just off Southport.  Unit features new granite kitchen with dishwasher, new bath, free laundry, yard, new tiles floors, and close to all the Southport shops and transportation. FEATURESA/CDishwasherElectric baseboard heatLaundry in Building  --  Bentley Phillips Leasing   847.220.2948    Square One Team, brokered by Jason Dalka      2851 North Lincoln, Chicago, IL 60657     ",North Bosworth near W Waveland,41.948932,-87.667755,2022-07-17 12:27,0,0,0,0,0,1,0,1,0,0,
7509913827,https://chicago.craigslist.org/chc/apa/d/chicago-immense-bedroom-bath-in/7509913827.html,1995,1,700.0,street,1,"703 W. Brompton Lakeview  Stunning one bedroom one bathroom in Lakeview! Unit features rehabbed kitchen with espresso cabinets, granite countertops, stainless steel appliances, dishwasher, large combination living and dining rooms, spacious bedroom, amazing closet space, beautiful hardwood floors throughout, rehabbed bathroom, pets welcome, and laundry in unit. Just steps away from transportation, nightlife, restaurants, and more! UA1701  Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 21951.  Urban Abodes 215/499-1336‬ www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9399,-87.6528,2022-07-17 11:44,1,1,0,0,1,0,0,1,0,0,2.85
7509895213,https://chicago.craigslist.org/chc/apa/d/chicago-dynamite-studio-bath-in/7509895213.html,1495,,,street,1,"703 W. Brompton Lakeview  Cool studio in the heart of Lakeview! Unit features rehabbed kitchen with espresso cabinets, granite countertops, stainless steel appliances, dishwasher, spacious living area, great closet space, hardwood floors throughout, rehabbed bathroom, laundry in unit, and pets are welcome! Walking distance to Addison Red Line train, Jewel, nightlife, and more! UA1701  Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 25107.  Urban Abodes 215/499-1336 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9399,-87.6528,2022-07-17 11:01,1,1,0,0,1,0,0,1,0,0,
7509894172,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-bedroom-bath-in/7509894172.html,1695,1,700.0,off-street,1,"510 W. Briar Lakeview  Fantastic one bedroom, one bath in Lakeview! Unit features cooking gas included, newer kitchen, separate dining area with ceiling fan, spacious living area, hardwood floors throughout, large bedroom, good closet space, pets welcome, and laundry room in building! Steps to shopping, nightlife, transportation, and more! UA1701  Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 22508.  Urban Abodes 215/499-1336 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9399,-87.6528,2022-07-17 10:59,1,1,0,0,0,1,0,0,1,0,2.4214285714285713
7509892502,https://chicago.craigslist.org/chc/apa/d/chicago-delightful-bedroom-bath-in/7509892502.html,1795,1,700.0,street,1,"511 W. Belmont Lakeview  Ideal one bedroom, one bathroom in the heart of Lakeview features rehabbed kitchen with quartz countertops, stainless steel appliances, dishwasher, spacious living and dining area, large bedroom, amazing closet space, hardwood floors throughout, updated bathroom, laundry in unit, and pets are welcome. Close to Lake, transportation, shops, and nightlife! UA1701   Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 32653.  Urban Abodes 215/499-1336 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9399,-87.6528,2022-07-17 10:55,1,1,0,0,1,0,0,1,0,0,2.5642857142857145
7509891158,https://chicago.craigslist.org/chc/apa/d/chicago-dynamite-studio-bath-in/7509891158.html,1450,,,street,1,"721 W. Barry Lakeview  Unforgettable studio in the heart of Lakeview! Unit features updated kitchen with dishwasher, breakfast bar, spacious living area, awesome closet space, hardwood floors throughout, updated bathroom, pets welcome, and laundry room in building! Walking distance to popular restaurants, nightlife, transportation, and more! UA1701  Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 22515.  Urban Abodes  215/499-1336 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9399,-87.6528,2022-07-17 10:51,1,1,0,0,0,1,0,1,0,0,
7509889617,https://chicago.craigslist.org/chc/apa/d/chicago-eclectic-studio-bath-in-lincoln/7509889617.html,1350,,,street,1,"429 W. Belden Lincoln Park  Extraordinary studio in the heart of Lincoln Park! Unit features cooking gas included, rehabbed kitchen with espresso cabinets, stainless steel appliances, dishwasher, spacious living area, great closet space, hardwood floors, rehabbed bathroom, laundry in unit, and pets welcome! Walking distance to Lincoln Park Zoo, Oz Park, shopping, nightlife, and more! UA1701  Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 21185.  Urban Abodes 215/499-1336 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9229,-87.6483,2022-07-17 10:47,1,1,0,0,1,0,0,1,0,0,
7509888918,https://chicago.craigslist.org/chc/apa/d/chicago-engaging-bedroom-bath-in/7509888918.html,1795,1,700.0,street,1,"428 W. Belden Lincoln Park  Amazing one bedroom one bathroom in the heart of Lincoln Park! Unit features updated kitchen with dishwasher, large combination living and dining rooms, spacious bedroom, awesome closet space, updated bathroom, hardwood floors throughout, laundry room in building, and pets are welcome! Steps to Lincoln Park Zoo, Oz Park, shopping, and more! UA1701  Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 20941.  Urban Abodes 215/499-1336‬ www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9229,-87.6483,2022-07-17 10:46,1,1,0,0,0,1,0,1,0,0,2.5642857142857145
7509888269,https://chicago.craigslist.org/chc/apa/d/chicago-astounding-bedroom-bath-in/7509888269.html,1450,1,700.0,street,1,"635 W. Barry Lakeview  Ideal one bedroom, one bathroom in the heart of Lakeview! Unit features newer kitchen, large combination living and dining rooms, gorgeous hardwood floors throughout, spacious bedroom, great closet space, newer bathroom, laundry room in building, and pets are welcome! Steps to shopping, nightlife, transportation, and more! UA1701  Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 24615.  Urban Abodes 215/499-1336 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9399,-87.6528,2022-07-17 10:44,1,1,0,0,0,1,0,1,0,0,2.071428571428571
7509885772,https://chicago.craigslist.org/chc/apa/d/chicago-outstanding-bedroom-bath-in/7509885772.html,2250,1,700.0,off-street,1,"555 W. Arlington Lincoln Park  Dynamite one bedroom, one bathroom in Lincoln Park features cooking gas included, rehabbed kitchen with granite countertops, stainless steel appliances, dishwasher, spacious living area, separate dining area, large bedroom, great closet space, updated bathroom, hardwood floors, in unit laundry, pets welcome. Close to shopping, transportation, and Lincoln Park nightlife!  UA1701  Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 29771.  Urban Abodes 215/499-1336‬ www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9229,-87.6483,2022-07-17 10:38,1,1,0,0,1,0,0,0,1,0,3.2142857142857144
7509885204,https://chicago.craigslist.org/chc/apa/d/chicago-spectacular-studio-bath-in/7509885204.html,1295,,,street,1,"536 W. Arlington Lincoln Park  Spectacular Lincoln Park studio features updated kitchen, spacious living area, great closet space, gorgeous hardwood floors throughout, newer bathroom, laundry room in building, and pets are welcome! Walking distance to shopping, nightlife, transportation, and more! UA1701  Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 23105.  Urban Abodes 215/499-1336‬ www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9229,-87.6483,2022-07-17 10:37,1,1,0,0,0,1,0,1,0,0,
7509883466,https://chicago.craigslist.org/chc/apa/d/chicago-exceptional-bedroom-bath-in/7509883466.html,1495,1,700.0,off-street,1,"530 W. Aldine Lakeview  Dynamite one bedroom one bathroom in beautiful Lakeview courtyard building features heat and cooking gas included, newer kitchen, separate dining area with ceiling fan and hardwood floors, spacious living area, carpeting, large carpeted bedroom, great closet space, newer bathroom,. pets welcome, and laundry room in building! UA1701  Please Call Timothy Weinert at 215/499-1336‬ to schedule an appointment to view this apartment and mention Apartment ID: 25574.  Urban Abodes 215/499-1336 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",,41.9399,-87.6528,2022-07-17 10:32,1,1,0,0,0,1,0,0,1,0,2.1357142857142857
7509883374,https://chicago.craigslist.org/chc/apa/d/chicago-large-bed-bath-with-parking/7509883374.html,2700,2,1400.0,Large 2 bed 2 bath with 2,2,"Extra Large Luxury 2 bed 2 bath with 2+ off-street parking spots (tandem) directly across the street from Mariano's and Starbucks!  Available for early August move in.  Granite counter tops, stainless steel appliances, maple floors, gas fireplace, super efficient tankless water heater, in unit washer/dryer, large private deck; this place has everything you've been looking for!  Central Ukrainian Village High Street.  Walking distance to Wicker Park, Division Street, Bucktown, etc. and excellent transit access.  Pet friendly upon approval & refundable pet deposit.  12 month minimum lease term - 1 month rent security deposit (a little extra with pets) - furniture NOT included - Tenant covers gas, electric, and cable/internet utilities (water, garbage, etc. IS included in rent) ",Chicago Ave near Damen Ave,41.896016,-87.678537,2022-07-17 10:32,1,1,1,0,1,0,0,0,1,0,1.9285714285714286
7509870855,https://chicago.craigslist.org/chc/apa/d/chicago-appealing-bedroom-bath-in/7509870855.html,2800,3,2500.0,off-street,3,"1940 W. Diversey Roscoe Village  Wonderful top floor three bedroom, three bathroom duplex features updated kitchen with maple cabinets, dishwasher, microwave, spacious living area with cathedral ceilings and gas fireplace, hardwood floors, large carpeted bedrooms, great closet space, in-unit laundry, deck, cats are welcome, and one parking spot included!   Please Call Jackie Smook at 303/358-8821‬ to schedule an appointment to view this apartment and mention Apartment ID: 1255.  Urban Abodes 773.676.9000 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",Diversey near Wolcott,41.932332,-87.675855,2022-07-17 10:00,1,0,0,0,1,0,0,0,1,0,1.1199999999999999
7509869599,https://chicago.craigslist.org/chc/apa/d/chicago-lincoln-park-beauty-in-unit/7509869599.html,5440,2,,,2,"Call Apartment Guys and ask for reference #2202315. This new building features all of the bells and whistles! The apartment has granite countertops, stainless steel appliances including a dishwasher and microwave, and enjoy the comfort of in unit laundry and the fun of your private balcony! The amenities feature a door person, fitness center, rooftop pool, community lounge, pet spa and dog run, bike storage, garage parking and more! Prices are subject to change.***Photos may be of a similar unit.****For faster response best to call or text 773-549-3474 with reference #2202315  ",Lincoln near Fullerton,41.925532,-87.648854,2022-07-17 09:57,1,1,0,0,1,0,0,0,0,1,
7509869007,https://chicago.craigslist.org/chc/apa/d/chicago-quality-bedroom-bath-in/7509869007.html,1900,2,1200.0,street,1,"3339 N. Seminary Lakeview  Fantastic two bedroom, one bath in Lakeview, heart of the Southport Corridor features large living and dining rooms, new kitchen, dishwasher, new cabinets and countertops, new bath, hardwood floors, fireplace, enclosed porch, laundry room in building, heat included, on-site laundry, beautiful woodwork, storage, short walk to the Belmont Red Line!  Please Call Jackie Smook at 303/358-8821‬ to schedule an appointment to view this apartment and mention Apartment ID: 6286.  Urban Abodes 773.676.9000 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",Seminary near School,41.941832,-87.656755,2022-07-17 09:55,0,0,0,0,0,1,0,1,0,0,1.5833333333333335
7509867170,https://chicago.craigslist.org/chc/apa/d/chicago-new-gut-rehab-laundry-in-unit/7509867170.html,1712,0,,,1,"Call Apartment Guys at 773-549-3474 and ask for reference #2201945. This brand new updated studio is unlike anything you’ve seen! These units feature exposed brick, laundry in unit, granite countertops and stainless steel appliances, and beautiful natural light! Dogs & cats welcome! Parking available on site. Prices are subject to change.***PHOTOS ARE OF A VARIETY OF SIMILAR UNITS.****For faster response best to call or text 773-549-3474 with reference #2201945 ",Wrightwood near Cleveland,41.928732,-87.672955,2022-07-17 09:49,1,1,0,0,1,0,0,0,0,0,
7509866249,https://chicago.craigslist.org/chc/apa/d/chicago-lovely-bedroom-bath-in-logan/7509866249.html,1750,2,710.0,off-street,1,"3633 W. Dickens Logan Square  Memorable two bedroom, one bathroom in the heart of Logan Square! Unit features beautiful rehabbed kitchen with espresso cabinets, granite countertops, stainless steel appliances, dishwasher, microwave, ceramic tiled bathroom, spacious bedrooms, large bright windows, great closet space, dark hardwood floors throughout, large back porch, new fitness room, on-site janitor, reserved parking available, and pet friendly! Steps to shopping, nightlife, transportation, and more!  Please Call Jackie Smook at 303/358-8821‬ to schedule an appointment to view this apartment and mention Apartment ID: 28569.  Urban Abodes 773.676.9000 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",Dickens near Central Park,41.919232,-87.705356,2022-07-17 09:47,1,1,0,0,0,1,0,0,1,0,2.4647887323943665
7509864077,https://chicago.craigslist.org/chc/apa/d/chicago-classic-bedroom-bath-in-logan/7509864077.html,1650,1,600.0,street,1,"2821 W. Shakespeare Logan Square  One bedroom, one bath in Logan Square features heat, hot water and cooking gas included, central air, hardwood floors throughout, eat in kitchen, spacious living room, queen size bedroom, good closet and storage space, on-site laundry, patio, easy street parking, too! Cats OK; no dogs, please.   Please Call Jackie Smook at 303/358-8821‬ to schedule an appointment to view this apartment and mention Apartment ID: 46374.  Urban Abodes 773.676.9000 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",Shakespeare near California,41.920632,-87.697455,2022-07-17 09:41,1,0,0,0,0,1,0,1,0,0,2.75
7509863363,https://chicago.craigslist.org/chc/apa/d/chicago-incredible-bedroom-bath-in/7509863363.html,2000,3,860.0,off-street,1,"3631 W. Dickens Logan Square  Fantastic three bedroom, one bath in the heart of Logan Square! Unit features beautiful updated kitchen with granite countertops and stainless appliances, dishwasher, built-in microwave, breakfast bar, hardwood floors throughout, bay windows, ceiling fan, ceramic tiled bathroom, spacious bedrooms, great closet space, large patio, cable ready, on-site janitor, reserved parking available, and pet friendly! Close to the Blue Line, and Logan Square shopping, nightlife and transportation!  Please Call Jackie Smook at 303/358-8821‬ to schedule an appointment to view this apartment and mention Apartment ID: 34023.  Urban Abodes 773.676.9000 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",Dickens near Central Park,41.919232,-87.705356,2022-07-17 09:39,1,1,0,0,0,1,0,0,1,0,2.3255813953488373
7509862454,https://chicago.craigslist.org/chc/apa/d/chicago-fabulous-bedroom-bath-in-logan/7509862454.html,1800,2,729.0,off-street,1,"3641 W. Dickens Logan Square  Terrific two bedroom one bathroom in the heart of Logan Square! Unit features beautiful updated kitchen, dark espresso cabinets, granite countertops, stainless steel appliances, dishwasher, microwave, ceramic tiled bathroom, huge bedrooms, large bright windows, amazing closet space, hardwood floors throughout, large patio, on-site janitor, parking available, and pet friendly! Steps to shopping, nightlife, transportation, and more!  Please Call Jackie Smook at 303/358-8821‬ to schedule an appointment to view this apartment and mention Apartment ID: 29087.  Urban Abodes 773.676.9000 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",Dickens near Central Park,41.919232,-87.705356,2022-07-17 09:36,1,1,0,0,0,1,0,0,1,0,2.4691358024691357
7509861520,https://chicago.craigslist.org/chc/apa/d/chicago-astounding-bedroom-bath-in/7509861520.html,1475,2,900.0,street,1,"3734 W. Wabansia Logan Square  Gut rehabbed Logan Square two bedroom, one bath features hardwood floors, new eat-in kitchen, quartz countertops, stainless appliances, gas oven/range, fridge, dishwasher, built-in microwave, shaker cabinets, pantry, A/C, new bathroom, equal size bedrooms, freshly painted, custom lighting, easy street parking,  one block to North Avenue, the Bloomingdale Trail and beautiful Humboldt Park! Small pets OK.   Please Call Jackie Smook at 303/358-8821‬ to schedule an appointment to view this apartment and mention Apartment ID: 34265.  Urban Abodes 773.676.9000 www.urbanabodes.com 3923 N. Ashland Avenue Chicago, IL 60613  Equal Opportunity Housing ",Wabansia near Lawndale,41.911832,-87.719156,2022-07-17 09:33,1,1,0,0,0,1,0,1,0,0,1.6388888888888888
7509557264,https://chicago.craigslist.org/chc/apa/d/chicago-bdr-in-logan-square/7509557264.html,1500,2,900.0,,1,Two bedroom apartment located near blueline train California station apartment include stainless steel appliances bamboo hardwood floor dishwasher text for faster response 773 8753369 apartment is only for one PersonAvailable garage but also available for extra $ ,,41.9209,-87.7043,2022-07-16 12:02,0,0,0,0,1,0,0,0,0,1,1.6666666666666667
7509856551,https://chicago.craigslist.org/chc/apa/d/chicago-lakeview-bed-duplex-laundry/7509856551.html,4200,4,,no,2,"PROPERTY INFO ID: 290792111Rent: $4,200 / MonthBeds: 4Bath: 2Available Date: 08/01/2022Pet: Cats & Small Dogs OnlyRent Includes:: Heat, WaterParking:: no parking Awesome Lakeview 4 Bed 2 Bath Duplex Down! Looking for something else? Check out all my other available apartments here and let me know which of them you'd like to tour! https://ygl.is/Hadi   Hadi Sharabi Realtor® MLS ID: 887241 ▪︎ The Apartment Source    (773) 272-1860     Hadis@ ApartmentSourceChicago.com   2533 W. Fullerton Ave. Chicago, IL 60647   http://www.ApartmentSourceChicago.com/    The Apartment Source Call or text: 773.272.1860     ",,41.9399,-87.6528,2022-07-17 09:18,1,1,0,0,1,0,0,1,0,0,
7509851124,https://chicago.craigslist.org/chc/apa/d/chicago-awesome-3br-2baacw-deck-prkg/7509851124.html,3500,3,1500.0,,2,"3819 Southport N Ave Chicago, IL 60613 (Southport and Grace)  3 bedrooms, 2 full baths, condo quality, apartment FOR RENT  Available August 1 or Sept 1, 2022  Clean, bright, new, fabulous apartment in Lakeview. Top floor. Large Main BR with en-suite marble shower. It's classic, elegant, luxurious and clean. Can easily fit king bed and furniture. Bedrooms 2 and 3 are the same size. Front BBQ deck overlooking Southport Corridor and Blaine School Roof deck with different views every time you step onto the roof deck Beautiful red oak floors throughout Custom closets in every bedroom Full size washer and dryer with special features in unit. Central AC/heat of course. Includes parking spot in garage. 2nd bathroom has deep soaker tub and marble tiles and vanity Pleasant LED lighting throughout. Elevator to your front door 10 foot ceilings Top floor (fourth floor) $3500 month 3 blocks from Southport Brown Line CTA station 4 blocks away from Wrigley Field Excellently maintained and clean building Contact Henry NO DOGS $40 application fee One month sec dep  Southport Corridor The Southport Corridor, a short walk west from Wrigley Field and easily accessible via the CTA Brown Line, is a go-to regional destination for the perfect day of shopping. Full of local charm, this street offers an eclectic mix of clothing and accessory boutiques, salons and spas, trendy restaurants, and family hot spots. Our diverse visitors enjoy an elevated experience with a small town feel in a big city environment.  Exclusively offered by Henry Schleichkorn Chicago Northside Realty, LLC All 5 Star Google Reviews ",3819 N Southport near Grace,41.951288,-87.663796,2022-07-17 09:01,0,0,1,0,1,0,0,0,0,1,2.3333333333333335
7509849386,https://chicago.craigslist.org/chc/apa/d/chicago-west-town-bed-for-rent/7509849386.html,1700,2,,street,1,"Outstanding West Town 2 Bed Close to everything 12 month lease 9/1 or 10/1. Central air and heat, private entry and parking, in unit laundry. Pet friendly. No security deposit. Amazing quiet family oriented neighborhood. Message for video 630 677 4506 ",,41.8915,-87.6802,2022-07-17 08:56,0,0,0,0,1,0,0,1,0,0,
7509822818,https://chicago.craigslist.org/chc/apa/d/chicago-wicker-park-studio-charming-and/7509822818.html,1025,0,,street,1,"Rooms and Interior Open floor plan Kitchen and Bath Refrigerator Stove / oven Tile floors Utilities and Extras Radiator heat Window-unit AC Building and Surroundings Walking/biking trails 90+ Walkscore Lease Terms Tenant pays all electric Heat included Dogs ok Cats ok Water included   Contact leasing agent below. Thanks!   Funsho Macaulay II 224-503-5193 fmacallay@kassmanagement.com Kass Management Services Inc. 2000 N. Racine Suite 4400, Chicago, IL 60614 ",,41.9019,-87.6779,2022-07-17 06:59,1,1,1,0,0,0,1,1,0,0,
7509822739,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-one-bed-in-belmont/7509822739.html,975,1,,street,1,"Must income qualify. Need to meet income qualifications.  Gross Income Limits 1 Person $58,350 2 Persons $66,700 3 Persons $75,050 4 Persons $83,350 5 Persons$90,050 6 Persons $96,700   Located at 4844-52 W Wrightwood/2601-09 N Lamon in the Belmont Cragin neighborhood in the 60639 zip code.  This building is close to shopping, public transportation, restaurants, and more!  This apartment features: - Hardwood floors - Heat and water included - Spacious bedroom - Cats ok (pet fee applies) - Brand new appliances - Good closet space - Street parking - Laundry in building  (Studios also available)  Contact leasing agent below. Thanks!   Funsho Macaulay II  224-503-5193 fmacallay@kassmanagement.com  Kass Management Services Inc.  2000 N. Racine Suite 4400, Chicago, IL 60614 ",,41.9202,-87.7535,2022-07-17 06:58,1,1,1,0,0,1,0,1,0,0,
7509736850,https://chicago.craigslist.org/chc/apa/d/chicago-sunny-floor-lincoln-park/7509736850.html,2600,1,1400.0,off-street,1,"Gorgeous two level 1 bed with a large den (perfect for an office or nursery). 2 floors, gated, and parking. Pet friendly! Functioning fire place. Large patio perfect for summer nights. Brand new stainless steel state-of-the-art appliances. Brand new in-unit washer and dryer. Very high ceilings. No security deposit required.  Wrightwood and Clybourn. ",Clybourn near Wrightwood,41.9251,-87.6486,2022-07-16 19:04,1,1,1,0,1,0,0,0,1,0,1.8571428571428572
